bodeguita(1)^raghida,bodeguita(1)
arbitragers^arbitragers',arbitragers^arbitragers'
hesitantly^militantly,hesitantly^militantly
development^redevelopment^underdevelopment,development
barbarity(0)^dissimilarity^mcgarity^mcgarrity^particularity,barbarity(0)^mcgarity^mcgarrity
ayatollah^ayatollah's^matola,ayatollah^ayatollah's
provenzano^torrenzano^valenzano,provenzano^torrenzano^valenzano
kawakami^murakami,kawakami^murakami
hasenauer^reisenauer^wittenauer,hasenauer^reisenauer^wittenauer
yanomami^yanomami,yanomami^yanomami
geriatricians^obstetricians^patricians^pediatricians,obstetricians
generali^murali,generali
denicola^dinicola^fernicola^piccola,denicola^dinicola^fernicola
binational^internacional(0)^international(0)^international(1)^internatonal(0)^internatonal(1)^irrational^multinational(0)^multinational(1)^national(0)^nationale(1)^rational(0)^supranational^transnational,binational^irrational^transnational
aluminium(0)^aluminium(1),aluminium(0)^aluminium(1)
capobianco^delbianco^lobianco^panebianco,delbianco^lobianco
invertebrate(1)^vertebrate,invertebrate(1)
accumulator^calculator^deregulator^escalator^insulator^manipulator^modulator^oscillator^percolator^purolator^regulator^simulator^speculator^stimulator^ventilator^ventilator^violator,calculator^escalator^insulator^modulator^oscillator^percolator^purolator^regulator^simulator^speculator^stimulator^ventilator^ventilator^violator
biodiversity^diversity(0)^diversity(2)^perversity^university,diversity(0)^diversity(2)^perversity
fluoroscopy(0)^fluoroscopy(1)^laparoscopy(0)^spectroscopy,fluoroscopy(0)^fluoroscopy(1)^spectroscopy
midwesterners^westerners,midwesterners
cooperates^operates,cooperates
intersecting(0)^intersecting(1),intersecting(0)^intersecting(1)
illegally^legally^regally,illegally
;semi-colon^;semi-colon,;semi-colon^;semi-colon
accentuating^evacuating(0)^evacuating(1)^fluctuating^graduating(0)^perpetuating,fluctuating^graduating(0)
deleterious^delirious^imperious^mysterious^serious,delirious^imperious^mysterious
edrington^etherington^everington^heatherington^hetherington^titterington^weatherington^wetherington^witherington,edrington^etherington^everington^heatherington^hetherington^titterington^weatherington^wetherington^witherington
discouragement^encouragement,discouragement^encouragement
affinity(0)^alkalinity^divinity^femininity^infinity(0)^masculinity^mcginnity^salinity^trinity(0),affinity(0)^divinity^infinity(0)^mcginnity^salinity
britannia^brittania(0)^eridania^nathania^oceania^stephania^theophania,britannia^brittania(0)^nathania^oceania^stephania
acrimony^palimony^sanctimony,acrimony^palimony^sanctimony
deuterium^mysterium,deuterium^mysterium
accelerated^adulterated^ameliorated(0)^ameliorated(1)^aspirated^cogenerated^collaborated(1)^commemorated^corroborated^decelerated^decorated(1)^degenerated^deliberated^deteriorated^enumerated^evaporated(1)^evaporated(3)^eviscerated^exaggerated(1)^exasperated^exhilarated^exonerated^federated^generated(1)^inaugurated(0)^inaugurated(1)^incarcerated^incinerated^incorporated(1)^invigorated^liberated^moderated^obliterated^perforated(1)^proliferated^redecorated^refrigerated^regenerated^reinvigorated^reiterated^reverberated(0)^reverberated(2)^saturated(1)^separated(1)^unadulterated^uncorroborated^unenumerated^unincorporated^unsaturated^venerated,aspirated^decorated(1)^federated^generated(1)^liberated^moderated^perforated(1)^saturated(1)^separated(1)^venerated
observations^reservations,observations^reservations
armenia's^eugenia's,armenia's^eugenia's
aliquippa's^aliquippas,aliquippa's^aliquippas
macnamara^mcnamara,macnamara^mcnamara
impurity^maturity(0)^obscurity^purity(0)^security^surety,impurity^maturity(0)^obscurity^security
campanaro^manganaro^montanaro^panaro,campanaro^manganaro^montanaro
paraguayan^uruguayan^uruguayan,paraguayan^uruguayan^uruguayan
gagliardo(0)^gagliardo(1)^guagliardo,gagliardo(0)^gagliardo(1)^guagliardo
cristiani's(0)^cristiani's(1)^giuliani's^sebastianis(0),cristiani's(0)^cristiani's(1)^giuliani's
autobiographer^biographer^choreographer^cinematographer^crystallographer^demographer^geographer^lexicographer^oceanographer^photographer^pornographer,biographer^demographer^geographer^photographer^pornographer
dangerously^generously^humorously^rigorously^vigorously^vociferously,dangerously^generously^humorously^rigorously^vigorously
documentary(1)^documentary(3)^fitzhenry(0)^henery^henrie^mcenery^parliamentary(1)^plenary(0)^supplementary(1),fitzhenry(0)^mcenery
dissatisfied^satisfied(0),dissatisfied
compusa^usa,compusa
capital(1)^capitol^prucapital^transcapital,prucapital^transcapital
indemnity(0)^solemnity,indemnity(0)^solemnity
evanescent^luminescent,evanescent^luminescent
obliterate^reiterate,obliterate^reiterate
exhibitors^inhibitors,exhibitors^inhibitors
additionally(0)^conditionally(0)^congressionally(0)^constitutionally^conventionally^criminally^diagonally^educationally(0)^educationally(2)^exceptionally(0)^fractionally(0)^functionally(0)^generationally^institutionally(0)^intentionally^internationally(0)^internationally(2)^irrationally(0)^marginally^medicinally^nationally(0)^nominally^nutritionally(0)^occasionally(0)^operationally(0)^originally(0)^personally(0)^phenomenally^professionally(0)^proportionally(0)^provisionally(0)^rationally(0)^regionally^rotationally^seasonally(0)^terminally^traditionally(0)^unconditionally(0)^unconstitutionally(0),criminally^fractionally(0)^functionally(0)^marginally^nationally(0)^nominally^personally(0)^rationally(0)^regionally^seasonally(0)^terminally
colglazier^delozier,colglazier^delozier
interacted(0)^interacted(1),interacted(0)^interacted(1)
nonresident^vice-president,nonresident^vice-president
charismatic^prismatic,charismatic
kapuscinski^koscinski,kapuscinski
antibiotics(0)^semiotics^synbiotics(0)^synbiotics(1),semiotics^synbiotics(0)^synbiotics(1)
sarajevo^sarejevo,sarajevo^sarejevo
acetylene^polyacetylene,acetylene
councilwomen^gentlewomen(0)^gentlewomen(1),councilwomen^gentlewomen(0)^gentlewomen(1)
abbreviate^alleviate^deviate,abbreviate^alleviate
attributing^redistributing(1),attributing
bracamonte's^bracamontes,bracamonte's^bracamontes
artificial^beneficial^official^sacrificial^unofficial,artificial^beneficial^sacrificial^unofficial
appealable^resealable,appealable^resealable
deficiencies^efficiencies^inefficiencies,deficiencies^efficiencies
loschiavo^schiavo,loschiavo
disrespected^respected(0),disrespected
automotive's^locomotives,automotive's^locomotives
cucchiara^dichiara^sciarra^tiara,cucchiara^dichiara
combinable^definable^indefinable,combinable^definable
campanale^canale,campanale
astorino^fiorino^laureano^laurino^lorino^maiorino^moreno(0)^morino^pastorino^torino^victorino,astorino^fiorino^maiorino^pastorino^victorino
drastically^enthusiastically^fantastically^sarcastically,fantastically^sarcastically
hyacintha^jacintha,hyacintha
examiner^kamenar^laminer,examiner
menasion^tallahassean,menasion
kawashima^nakashima^takashima,kawashima^nakashima^takashima
battista^sabatista^zapatista,sabatista^zapatista
consternation^hibernation,consternation^hibernation
deliberate(1)^liberate,deliberate(1)
lamattina^latina(0)^mattina,lamattina
coexisting^existing^preexisting,coexisting^preexisting
determinate^exterminate^germinate^terminate,determinate^exterminate
counterculture(0)^counterculture(1),counterculture(0)^counterculture(1)
disfavoring^favoring^flavoring^quavering^savoring^unwavering^wavering,disfavoring^unwavering
burgomaster's^burgomasters,burgomaster's^burgomasters
adequately(0)^inadequately,adequately(0)
covering(0)^discovering^hovering(0)^lovering^recovering(0)^recovering(1)^rediscovering^uncovering,discovering^recovering(0)^recovering(1)^uncovering
assassinate^fascinate,assassinate
abbreviated(0)^affiliated(0)^alleviated(0)^associated(0)^associated(1)^differentiated(1)^disassociated(0)^disassociated(1)^glaciated(0)^glaciated(1)^inebriated^infuriated(0)^initiated(0)^instantiated^insubstantiated(0)^insubstantiated(1)^nauseated^negotiated(0)^obviated^officiated^radiated(0)^repudiated,glaciated(0)^glaciated(1)^nauseated^obviated^radiated(0)
canola^espanola^granola^indianola,espanola
admonition^ammunition^definition^premonition^redefinition,admonition^ammunition^definition^premonition
interceptors(0)^interceptors(1),interceptors(0)^interceptors(1)
improbable^probable,improbable
compensation^condensation^dispensation,compensation^condensation^dispensation
alcantara^cantara,alcantara
ciolek^kociolek^maciolek^niziolek,kociolek^maciolek^niziolek
dilithium^lithium,dilithium
compulsively^impulsively,compulsively^impulsively
mesothorax^metathorax,mesothorax^metathorax
counterfeiter(0)^counterfeiter(1),counterfeiter(0)^counterfeiter(1)
blasingame^blassingame^fillingame,blasingame^blassingame^fillingame
desirable(0)^undesirable,desirable(0)
intercepted(0)^intercepted(2),intercepted(0)^intercepted(2)
adss(1)^dss,adss(1)
nonresidents^vice-presidents,nonresidents^vice-presidents
iwanicki^karanitski^konicki^vranitzky,iwanicki^karanitski
agitating^annotating(1)^debilitating^facilitating^hesitating^imitating^irritating^levitating^meditating^palpitating^precipitating^rehabilitating(0)^rehabilitating(1),agitating^annotating(1)^hesitating^imitating^irritating^levitating^meditating^palpitating
misrecognition^preignition^recognition(0),preignition^recognition(0)
karasawa^terasawa,karasawa^terasawa
domestically^majestically(1),domestically^majestically(1)
epitomized^legitimized,epitomized^legitimized
expandable^mandible(0)^understandable,expandable
suburbanites^urbanites,suburbanites
evaluates(0)^evaluates(1),evaluates(0)^evaluates(1)
aparicio^cicio^dionisio^licio^officio^ortomisio^patricio^vinicio,officio^patricio^vinicio
asimov(0)^gerasimov(0)^gerasimov(1),gerasimov(0)^gerasimov(1)
directoral^electoral^pectoral^sectoral,directoral^electoral
corrupting^interrupting(0)^interrupting(1),interrupting(0)^interrupting(1)
filibuster^fill-a-buster^fillibuster,filibuster^fill-a-buster^fillibuster
fluorocarbon(0)^fluorocarbon(1)^hydrocarbon,fluorocarbon(0)^fluorocarbon(1)^hydrocarbon
apathetic^empathetic^parasympathetic^pathetic^sympathetic^unsympathetic,apathetic^empathetic^sympathetic
altobelli^iacobelli,altobelli
musculature^tabulature,musculature^tabulature
echinacea^iglesia^pharmacia^plescia,iglesia^pharmacia
eolande^iolande,eolande^iolande
alessandro(0)^d'alessandro(0),alessandro(0)^d'alessandro(0)
prerogative(0)^prerogative(1),prerogative(0)^prerogative(1)
innuendoes^innuendos,innuendoes^innuendos
bommarito^burrito^cerrito^pellerito^territo,bommarito^pellerito
granahan^hanahan^lanahan^manahan^mcclanahan^mcgranahan^mclanahan^shanahan^shannahan^stranahan,mcclanahan^mcgranahan^mclanahan
predictable(0)^predictable(1)^unpredictable,predictable(0)^predictable(1)
associate's^associates'(0)^associate's^associates(2),associate's^associates'(0)^associate's^associates(2)
insubstantial(0)^substantial(0),insubstantial(0)
alligators^instigators^interrogators^investigator's^investigators^investigators'^irrigators^litigators^navigators,alligators^instigators^irrigators^litigators^navigators
aromatic^asymptomatic^automatic(0)^axiomatic^cinematic^diagrammatic^diplomatic^dramatic^emblematic^epigrammatic^idiomatic^mathematic^melodramatic^problematic^programmatic^psychosomatic^semiautomatic(0)^semiautomatic(1)^semiautomatic(2)^symptomatic^systematic^telematic^undiplomatic,aromatic^automatic(0)^cinematic^diplomatic^emblematic^mathematic^problematic^programmatic^symptomatic^systematic^telematic
angelillo^melillo,angelillo
overrated^underrated,overrated^underrated
xers^xers^xers,xers^xers^xers
impressionists(2)^secessionists(2),impressionists(2)^secessionists(2)
comedian's^comedians,comedian's^comedians
shindledecker^shingledecker,shindledecker^shingledecker
conn.(1)^connecticut^etiquette,conn.(1)^connecticut
conglomerate's^conglomerates,conglomerate's^conglomerates
illegitimacy^intimacy^legitimacy(0)^legitimacy(1),intimacy
actuaries^february's(0)^february's(1),actuaries^february's(0)^february's(1)
directorships(0)^directorships(1)^directorships(2)^directorships(3),directorships(0)^directorships(1)^directorships(2)^directorships(3)
copyrighted^copywrited,copyrighted^copywrited
doherty(0)^dougherty(0)^o'doherty^odoherty^o'doherty^odoherty,o'doherty^odoherty^o'doherty^odoherty
imamura^kawamura^kitamura^nakamura^tamura,imamura^kawamura^kitamura^nakamura
genitalia^natalia,genitalia
conspicuously^continuously^incongruously^strenuously^unambiguously,strenuously
colonial's^colonials^testimonials,colonial's^colonials
insensitive(0)^oversensitive^sensitive(0),insensitive(0)
gharbonifar^ghorbanifar(1),gharbonifar^ghorbanifar(1)
dalesandro^dalessandro,dalesandro^dalessandro
interceptor(0)^interceptor(1),interceptor(0)^interceptor(1)
analyticity^complicity(0)^domesticity^eccentricity^elasticity^electricity^felicite(1)^felicity^publicity(0)^simplicity(0)^specificity^toxicity,complicity(0)^felicite(1)^felicity^publicity(0)^simplicity(0)^toxicity
ecumena^gumina,ecumena
misunderstands^understands,misunderstands
fabricator^syndicator,fabricator^syndicator
protectionists(2)^protectionists(3),protectionists(2)^protectionists(3)
aliberti^laliberte^liberti,aliberti^laliberte
coalition's^coalitions,coalition's^coalitions
obesity(0)^obesity(1),obesity(0)^obesity(1)
developing^enveloping,developing^enveloping
adorable^corabelle(0)^deplorable^horrible^mirabelle^orabelle,adorable^deplorable
astrophotography^autobiography^bibliography^biography^choreography^chromatography^cinematography^crystallography^demography^echography^geography^hagiography^historiography^iconography^kaumography^lithography^mammography^oceanography^orthography^photography^phytogeography^polarography^pomography^pornography^radiography^topography^typography,biography^demography^echography^geography^kaumography^lithography^mammography^orthography^photography^pomography^pornography^topography^typography
liotier(1)^potier,liotier(1)
classified^declassified^pacified^reclassified,declassified^reclassified
exfoliate^foliate,exfoliate
caterpillar's^caterpiller's(1),caterpillar's^caterpiller's(1)
depriest(0)^dupriest(0),depriest(0)^dupriest(0)
esophagus^sarcophagus,esophagus^sarcophagus
consolably^uncontrollably,consolably
suburbanize^urbanize,suburbanize
celosia^dambrosia^derosia^dosia^eudosia,celosia^dambrosia^derosia^eudosia
mexico^new-mexico^texaco,new-mexico
economies(0)^economies(1)^economy's(0)^economy's(1),economies(0)^economies(1)^economy's(0)^economy's(1)
abilities^capabilities^disabilities(0)^facilities(0)^hostilities^liabilities(0)^possibilities^probabilities^responsibilities^utilities^utilities'^utility's,abilities^facilities(0)^hostilities^utilities^utilities'^utility's
